"","id","table","sb","sb_stack","bb","bb_stack","utg","utg_stack","p4","p4_stack","p5","p5_stack","d","d_stack"
"7970",3064909674,"DOVE AVE","6nDFsX2b9krMLnZS/ulE9A",1108.5,"8z33KASCGgAHVfxu6HD4UA",1143.5,"y/xXiv3wrsVNOi4N7qXbuQ",3437,"gOsVBKXNE2SWcyCH5T5sDg",2044,"ZvUzSVOOKZwfU5rLMFTUFg",4925.5,"jzhKcsjzeM8Zaw5lPEYSig",1950
"7971",3064899572,"DELTA DR","y/xXiv3wrsVNOi4N7qXbuQ",3260,"ZY9O2Uu8JFr2/I+nXQPmRQ",2159,"8z33KASCGgAHVfxu6HD4UA",1259,"gOsVBKXNE2SWcyCH5T5sDg",3069,"ZvUzSVOOKZwfU5rLMFTUFg",3298.5,"uTAZ8SSSb+9UY4iT33HAPg",1160
"7972",3064900632,"DELTA DR","ZY9O2Uu8JFr2/I+nXQPmRQ",2149,"8z33KASCGgAHVfxu6HD4UA",1274,"gOsVBKXNE2SWcyCH5T5sDg",3069,"ZvUzSVOOKZwfU5rLMFTUFg",3298.5,"uTAZ8SSSb+9UY4iT33HAPg",1160,"y/xXiv3wrsVNOi4N7qXbuQ",3255
"7973",3064911962,"DOVE AVE","8z33KASCGgAHVfxu6HD4UA",1133.5,"y/xXiv3wrsVNOi4N7qXbuQ",3679,"gOsVBKXNE2SWcyCH5T5sDg",2044,"ZvUzSVOOKZwfU5rLMFTUFg",4925.5,"jzhKcsjzeM8Zaw5lPEYSig",1950,"6nDFsX2b9krMLnZS/ulE9A",873.5
"7974",3064890830,"ANN ARBOR","ZvUzSVOOKZwfU5rLMFTUFg",3992.5,"y/xXiv3wrsVNOi4N7qXbuQ",7427,"VP8zRGrfIIYKQrIN+czl+w",1474,"uTAZ8SSSb+9UY4iT33HAPg",1462,"jzhKcsjzeM8Zaw5lPEYSig",1985,"gOsVBKXNE2SWcyCH5T5sDg",1801
"7975",3064913520,"DOVE AVE","y/xXiv3wrsVNOi4N7qXbuQ",3669,"gOsVBKXNE2SWcyCH5T5sDg",2044,"ZvUzSVOOKZwfU5rLMFTUFg",4925.5,"jzhKcsjzeM8Zaw5lPEYSig",1950,"6nDFsX2b9krMLnZS/ulE9A",873.5,"8z33KASCGgAHVfxu6HD4UA",1143.5
"7976",3064902526,"DELTA DR","8z33KASCGgAHVfxu6HD4UA",1264,"gOsVBKXNE2SWcyCH5T5sDg",3069,"ZvUzSVOOKZwfU5rLMFTUFg",3298.5,"uTAZ8SSSb+9UY4iT33HAPg",1130,"y/xXiv3wrsVNOi4N7qXbuQ",3255,"ZY9O2Uu8JFr2/I+nXQPmRQ",2189
"7977",3064914436,"DOVE AVE","gOsVBKXNE2SWcyCH5T5sDg",2034,"ZvUzSVOOKZwfU5rLMFTUFg",4940.5,"jzhKcsjzeM8Zaw5lPEYSig",1950,"6nDFsX2b9krMLnZS/ulE9A",873.5,"8z33KASCGgAHVfxu6HD4UA",1143.5,"y/xXiv3wrsVNOi4N7qXbuQ",3664
"7978",3064904894,"DELTA DR","gOsVBKXNE2SWcyCH5T5sDg",3059,"ZvUzSVOOKZwfU5rLMFTUFg",3298.5,"uTAZ8SSSb+9UY4iT33HAPg",1095,"y/xXiv3wrsVNOi4N7qXbuQ",3255,"ZY9O2Uu8JFr2/I+nXQPmRQ",2239,"8z33KASCGgAHVfxu6HD4UA",1259
"7979",3064906564,"DELTA DR","ZvUzSVOOKZwfU5rLMFTUFg",3288.5,"uTAZ8SSSb+9UY4iT33HAPg",1287,"y/xXiv3wrsVNOi4N7qXbuQ",3255,"ZY9O2Uu8JFr2/I+nXQPmRQ",2239,"8z33KASCGgAHVfxu6HD4UA",1259,"gOsVBKXNE2SWcyCH5T5sDg",3024
"7980",3064896292,"ANN ARBOR","VP8zRGrfIIYKQrIN+czl+w",1464,"uTAZ8SSSb+9UY4iT33HAPg",1250,"jzhKcsjzeM8Zaw5lPEYSig",1880,"gOsVBKXNE2SWcyCH5T5sDg",3395,"ZvUzSVOOKZwfU5rLMFTUFg",3987.5,"y/xXiv3wrsVNOi4N7qXbuQ",7412
"7981",3064907778,"DELTA DR","uTAZ8SSSb+9UY4iT33HAPg",1292,"y/xXiv3wrsVNOi4N7qXbuQ",3255,"ZY9O2Uu8JFr2/I+nXQPmRQ",2239,"8z33KASCGgAHVfxu6HD4UA",1259,"gOsVBKXNE2SWcyCH5T5sDg",3024,"ZvUzSVOOKZwfU5rLMFTUFg",3283.5
"7982",3064898954,"ANN ARBOR","uTAZ8SSSb+9UY4iT33HAPg",1240,"jzhKcsjzeM8Zaw5lPEYSig",1880,"gOsVBKXNE2SWcyCH5T5sDg",3497,"ZvUzSVOOKZwfU5rLMFTUFg",3987.5,"y/xXiv3wrsVNOi4N7qXbuQ",7412,"VP8zRGrfIIYKQrIN+czl+w",1369
"7983",3064910584,"DELTA DR","y/xXiv3wrsVNOi4N7qXbuQ",3245,"ZY9O2Uu8JFr2/I+nXQPmRQ",2239,"8z33KASCGgAHVfxu6HD4UA",1306,"gOsVBKXNE2SWcyCH5T5sDg",3024,"ZvUzSVOOKZwfU5rLMFTUFg",3248.5,"uTAZ8SSSb+9UY4iT33HAPg",1287
"7984",3064911810,"DELTA DR","ZY9O2Uu8JFr2/I+nXQPmRQ",2229,"8z33KASCGgAHVfxu6HD4UA",1321,"gOsVBKXNE2SWcyCH5T5sDg",3024,"ZvUzSVOOKZwfU5rLMFTUFg",3248.5,"uTAZ8SSSb+9UY4iT33HAPg",1287,"y/xXiv3wrsVNOi4N7qXbuQ",3240
"7985",3064901898,"ANN ARBOR","jzhKcsjzeM8Zaw5lPEYSig",1870,"gOsVBKXNE2SWcyCH5T5sDg",3497,"ZvUzSVOOKZwfU5rLMFTUFg",3987.5,"y/xXiv3wrsVNOi4N7qXbuQ",7382,"VP8zRGrfIIYKQrIN+czl+w",1411,"uTAZ8SSSb+9UY4iT33HAPg",1235
"7986",3064903416,"ANN ARBOR","gOsVBKXNE2SWcyCH5T5sDg",3502,"ZvUzSVOOKZwfU5rLMFTUFg",3987.5,"y/xXiv3wrsVNOi4N7qXbuQ",7382,"VP8zRGrfIIYKQrIN+czl+w",1411,"uTAZ8SSSb+9UY4iT33HAPg",1235,"jzhKcsjzeM8Zaw5lPEYSig",1865
"7987",3064914210,"DELTA DR","8z33KASCGgAHVfxu6HD4UA",1286,"gOsVBKXNE2SWcyCH5T5sDg",3096,"ZvUzSVOOKZwfU5rLMFTUFg",3248.5,"uTAZ8SSSb+9UY4iT33HAPg",1252,"y/xXiv3wrsVNOi4N7qXbuQ",3240,"ZY9O2Uu8JFr2/I+nXQPmRQ",2224
"7988",3064905078,"ANN ARBOR","ZvUzSVOOKZwfU5rLMFTUFg",3977.5,"y/xXiv3wrsVNOi4N7qXbuQ",7397,"VP8zRGrfIIYKQrIN+czl+w",1411,"uTAZ8SSSb+9UY4iT33HAPg",1235,"jzhKcsjzeM8Zaw5lPEYSig",1865,"gOsVBKXNE2SWcyCH5T5sDg",3497
"7989",3064916094,"DELTA DR","gOsVBKXNE2SWcyCH5T5sDg",3126,"ZvUzSVOOKZwfU5rLMFTUFg",3248.5,"uTAZ8SSSb+9UY4iT33HAPg",1252,"y/xXiv3wrsVNOi4N7qXbuQ",3240,"ZY9O2Uu8JFr2/I+nXQPmRQ",2224,"8z33KASCGgAHVfxu6HD4UA",1256
"7990",3064917016,"DELTA DR","ZvUzSVOOKZwfU5rLMFTUFg",3238.5,"uTAZ8SSSb+9UY4iT33HAPg",1252,"y/xXiv3wrsVNOi4N7qXbuQ",3240,"ZY9O2Uu8JFr2/I+nXQPmRQ",2224,"8z33KASCGgAHVfxu6HD4UA",1271,"gOsVBKXNE2SWcyCH5T5sDg",3121
"7991",3064907932,"ANN ARBOR","y/xXiv3wrsVNOi4N7qXbuQ",7387,"VP8zRGrfIIYKQrIN+czl+w",1411,"uTAZ8SSSb+9UY4iT33HAPg",1235,"jzhKcsjzeM8Zaw5lPEYSig",1880,"gOsVBKXNE2SWcyCH5T5sDg",3497,"ZvUzSVOOKZwfU5rLMFTUFg",3972.5
"7992",3064918092,"DELTA DR","uTAZ8SSSb+9UY4iT33HAPg",1242,"y/xXiv3wrsVNOi4N7qXbuQ",3240,"ZY9O2Uu8JFr2/I+nXQPmRQ",2224,"8z33KASCGgAHVfxu6HD4UA",1286,"gOsVBKXNE2SWcyCH5T5sDg",3121,"ZvUzSVOOKZwfU5rLMFTUFg",3233.5
"7993",3064908734,"ANN ARBOR","VP8zRGrfIIYKQrIN+czl+w",1416,"uTAZ8SSSb+9UY4iT33HAPg",1235,"jzhKcsjzeM8Zaw5lPEYSig",1880,"gOsVBKXNE2SWcyCH5T5sDg",3497,"ZvUzSVOOKZwfU5rLMFTUFg",3972.5,"y/xXiv3wrsVNOi4N7qXbuQ",7382
"7994",3064932288,"DOVE AVE","jzhKcsjzeM8Zaw5lPEYSig",1977,"6nDFsX2b9krMLnZS/ulE9A",873.5,"8z33KASCGgAHVfxu6HD4UA",1197.5,"y/xXiv3wrsVNOi4N7qXbuQ",3614,"gOsVBKXNE2SWcyCH5T5sDg",2034,"ZvUzSVOOKZwfU5rLMFTUFg",4900.5
"7995",3064909826,"ANN ARBOR","uTAZ8SSSb+9UY4iT33HAPg",1240,"jzhKcsjzeM8Zaw5lPEYSig",1880,"gOsVBKXNE2SWcyCH5T5sDg",3497,"ZvUzSVOOKZwfU5rLMFTUFg",3972.5,"y/xXiv3wrsVNOi4N7qXbuQ",7382,"VP8zRGrfIIYKQrIN+czl+w",1411
"7996",3064920322,"DELTA DR","y/xXiv3wrsVNOi4N7qXbuQ",3230,"ZY9O2Uu8JFr2/I+nXQPmRQ",2224,"8z33KASCGgAHVfxu6HD4UA",1286,"gOsVBKXNE2SWcyCH5T5sDg",3163,"ZvUzSVOOKZwfU5rLMFTUFg",3233.5,"uTAZ8SSSb+9UY4iT33HAPg",1207
"7997",3064933810,"DOVE AVE","6nDFsX2b9krMLnZS/ulE9A",863.5,"8z33KASCGgAHVfxu6HD4UA",1212.5,"y/xXiv3wrsVNOi4N7qXbuQ",3614,"gOsVBKXNE2SWcyCH5T5sDg",2034,"ZvUzSVOOKZwfU5rLMFTUFg",4900.5,"jzhKcsjzeM8Zaw5lPEYSig",1972
"7998",3064922658,"DELTA DR","ZY9O2Uu8JFr2/I+nXQPmRQ",2214,"8z33KASCGgAHVfxu6HD4UA",1286,"gOsVBKXNE2SWcyCH5T5sDg",3163,"ZvUzSVOOKZwfU5rLMFTUFg",3233.5,"uTAZ8SSSb+9UY4iT33HAPg",1389,"y/xXiv3wrsVNOi4N7qXbuQ",3055
"7999",3064913598,"ANN ARBOR","jzhKcsjzeM8Zaw5lPEYSig",1950,"gOsVBKXNE2SWcyCH5T5sDg",3497,"ZvUzSVOOKZwfU5rLMFTUFg",3972.5,"y/xXiv3wrsVNOi4N7qXbuQ",7714,"VP8zRGrfIIYKQrIN+czl+w",1411,"uTAZ8SSSb+9UY4iT33HAPg",1235
"8000",3064914636,"ANN ARBOR","gOsVBKXNE2SWcyCH5T5sDg",3487,"ZvUzSVOOKZwfU5rLMFTUFg",3987.5,"y/xXiv3wrsVNOi4N7qXbuQ",7714,"VP8zRGrfIIYKQrIN+czl+w",1411,"uTAZ8SSSb+9UY4iT33HAPg",1235,"jzhKcsjzeM8Zaw5lPEYSig",1945
"8001",3064924370,"DELTA DR","8z33KASCGgAHVfxu6HD4UA",1276,"gOsVBKXNE2SWcyCH5T5sDg",3128,"ZvUzSVOOKZwfU5rLMFTUFg",3233.5,"uTAZ8SSSb+9UY4iT33HAPg",1389,"y/xXiv3wrsVNOi4N7qXbuQ",3102,"ZY9O2Uu8JFr2/I+nXQPmRQ",2209
"8002",3064915632,"ANN ARBOR","ZvUzSVOOKZwfU5rLMFTUFg",3977.5,"y/xXiv3wrsVNOi4N7qXbuQ",7714,"VP8zRGrfIIYKQrIN+czl+w",1411,"uTAZ8SSSb+9UY4iT33HAPg",1235,"jzhKcsjzeM8Zaw5lPEYSig",1960,"gOsVBKXNE2SWcyCH5T5sDg",3482
"8003",3064927372,"DELTA DR","gOsVBKXNE2SWcyCH5T5sDg",3118,"ZvUzSVOOKZwfU5rLMFTUFg",3233.5,"uTAZ8SSSb+9UY4iT33HAPg",1584,"y/xXiv3wrsVNOi4N7qXbuQ",3102,"ZY9O2Uu8JFr2/I+nXQPmRQ",2174,"8z33KASCGgAHVfxu6HD4UA",1126
"8004",3064918296,"ANN ARBOR","y/xXiv3wrsVNOi4N7qXbuQ",7704,"VP8zRGrfIIYKQrIN+czl+w",1411,"uTAZ8SSSb+9UY4iT33HAPg",1235,"jzhKcsjzeM8Zaw5lPEYSig",1975,"gOsVBKXNE2SWcyCH5T5sDg",3482,"ZvUzSVOOKZwfU5rLMFTUFg",3972.5
"8005",3064928744,"DELTA DR","ZvUzSVOOKZwfU5rLMFTUFg",3223.5,"uTAZ8SSSb+9UY4iT33HAPg",1584,"y/xXiv3wrsVNOi4N7qXbuQ",3117,"ZY9O2Uu8JFr2/I+nXQPmRQ",2174,"8z33KASCGgAHVfxu6HD4UA",1126,"gOsVBKXNE2SWcyCH5T5sDg",3113
