"","id","folds_pocket","folds_flop","folds_turn","folds_river","checks_pocket","checks_flop","checks_turn","checks_river","calls_pocket","calls_flop","calls_turn","calls_river","bets_pocket","bets_flop","bets_turn","bets_river","raises_pocket","raises_flop","raises_turn","raises_river"
"6141",3055746040,4,0,0,0,0,0,1,2,1,1,1,0,0,1,1,0,1,1,0,0
"6142",3055746668,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6143",3055748626,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6144",3055750366,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6145",3055751258,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6146",3055752528,4,0,0,1,0,2,1,0,2,0,1,0,0,0,1,0,1,0,0,0
"6147",3055752388,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"6148",3055753824,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6149",3055756988,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6150",3055758044,4,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"6151",3055759106,4,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,2,0,0,0
"6152",3055756078,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6153",3055761512,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6154",3055757298,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"6155",3055762554,4,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0
"6156",3055764222,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
"6157",3055759776,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6158",3055765928,4,0,0,0,0,1,2,2,1,1,0,0,0,1,0,0,1,0,0,0
"6159",3055760770,3,2,0,0,1,2,0,0,2,0,0,0,0,1,0,0,0,0,0,0
"6160",3055762710,4,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
"6161",3055770256,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"6162",3055764520,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"6163",3055771900,3,2,0,0,0,1,0,0,2,0,0,0,0,1,0,0,1,0,0,0
"6164",3055774090,4,0,0,0,0,1,2,2,1,1,0,0,0,1,0,0,1,0,0,0
"6165",3055776124,4,0,0,0,0,1,2,0,2,1,0,1,0,1,0,1,1,0,0,0
"6166",3055778976,4,0,0,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0
"6167",3055781546,4,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0
"6168",3055783096,4,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0
"6169",3055785540,3,0,1,0,1,3,1,2,2,0,1,0,0,0,1,0,0,0,0,0
"6170",3055788356,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6171",3055789136,3,0,0,0,0,3,1,3,2,0,2,0,0,0,1,0,1,0,0,0
"6172",3055793314,4,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
